Jednostka_podzialu_administracyjnego;Rok;Przestepstwa_stwierdzone;Przestepstwa_wykryte;procent_wykrycia;kod_woj
woj.dolnoœl¹skie;2017;51982;28785;54,7;2
woj.dolnoœl¹skie;2016;55211;28981;51,7;2
woj.dolnoœl¹skie;2015;57976;29768;50,3;2
woj.dolnoœl¹skie;2014;61386;32217;51,5;2
woj.dolnoœl¹skie;2013;80878;47476;57,4;2
woj.dolnoœl¹skie;2012;83972;49362;57,7;2
woj.dolnoœl¹skie;2011;83504;49743;58,5;2
woj.dolnoœl¹skie;2010;81788;47083;56,5;2
woj.dolnoœl¹skie;2009;77967;44732;56,3;2
woj.dolnoœl¹skie;2008;74271;42322;55,9;2
woj.dolnoœl¹skie;2007;81241;46197;55,8;2
woj.dolnoœl¹skie;2006;83929;46288;54,2;2
woj.dolnoœl¹skie;2005;89730;47814;52,4;2
woj.dolnoœl¹skie;2004;98687;52105;51,9;2
woj.dolnoœl¹skie;2003;98184;50313;50,6;2
woj.dolnoœl¹skie;2002;93068;46496;49,3;2
woj.dolnoœl¹skie;2001;95976;47060;48,5;2
woj.dolnoœl¹skie;2000;108699;55059;50,2;2
woj.dolnoœl¹skie;1999;95062;45565;47,6;2
woj.kujawsko-pomorskie;2017;22505;14306;63;4
woj.kujawsko-pomorskie;2016;23732;13805;57,5;4
woj.kujawsko-pomorskie;2015;25442;13935;53,9;4
woj.kujawsko-pomorskie;2014;28668;16659;56,6;4
woj.kujawsko-pomorskie;2013;34525;19081;53,9;4
woj.kujawsko-pomorskie;2012;39679;22616;56,2;4
woj.kujawsko-pomorskie;2011;38488;22155;56,5;4
woj.kujawsko-pomorskie;2010;37597;19720;51,7;4
woj.kujawsko-pomorskie;2009;36815;18508;49,5;4
woj.kujawsko-pomorskie;2008;37698;19836;51,9;4
woj.kujawsko-pomorskie;2007;39629;19635;48,9;4
woj.kujawsko-pomorskie;2006;45454;21631;47;4
woj.kujawsko-pomorskie;2005;51481;23614;45,3;4
woj.kujawsko-pomorskie;2004;59829;26911;44,5;4
woj.kujawsko-pomorskie;2003;61056;27063;43,9;4
woj.kujawsko-pomorskie;2002;57025;26061;45,2;4
woj.kujawsko-pomorskie;2001;59088;27650;46,3;4
woj.kujawsko-pomorskie;2000;60048;27839;45,9;4
woj.kujawsko-pomorskie;1999;59604;27118;45;4
woj.lubelskie;2017;18716;13163;69,4;6
woj.lubelskie;2016;18583;11706;62,3;6
woj.lubelskie;2015;20248;12303;59,7;6
woj.lubelskie;2014;23515;14808;61,7;6
woj.lubelskie;2013;28891;17228;58,6;6
woj.lubelskie;2012;31798;19850;61;6
woj.lubelskie;2011;32307;19924;60,5;6
woj.lubelskie;2010;30463;18197;58,6;6
woj.lubelskie;2009;31104;17377;55,2;6
woj.lubelskie;2008;31963;17764;54,6;6
woj.lubelskie;2007;34050;18882;54,6;6
woj.lubelskie;2006;36711;19499;52,3;6
woj.lubelskie;2005;39893;20145;49,8;6
woj.lubelskie;2004;43130;21409;48,9;6
woj.lubelskie;2003;42511;21277;49,4;6
woj.lubelskie;2002;42802;21847;50,1;6
woj.lubelskie;2001;44762;25048;54,8;6
woj.lubelskie;2000;47071;26983;56,5;6
woj.lubelskie;1999;45863;23799;51,2;6
woj.lubuskie;2017;14752;9404;63,2;8
woj.lubuskie;2016;15426;9345;60;8
woj.lubuskie;2015;16441;9724;58,2;8
woj.lubuskie;2014;18615;11077;58,7;8
woj.lubuskie;2013;25082;15620;61,5;8
woj.lubuskie;2012;25539;16670;64,6;8
woj.lubuskie;2011;25236;16628;65,4;8
woj.lubuskie;2010;24454;15684;63,4;8
woj.lubuskie;2009;22182;13862;61,5;8
woj.lubuskie;2008;22323;13917;61,4;8
woj.lubuskie;2007;23952;14972;61,4;8
woj.lubuskie;2006;24840;14293;56,5;8
woj.lubuskie;2005;26141;15118;56,5;8
woj.lubuskie;2004;28910;16206;55,2;8
woj.lubuskie;2003;30500;16881;54,5;8
woj.lubuskie;2002;30616;17427;56;8
woj.lubuskie;2001;31919;17119;53;8
woj.lubuskie;2000;35534;18127;50,5;8
woj.lubuskie;1999;33246;17831;53,1;8
woj.³ódzkie;2017;27923;14937;52,6;10
woj.³ódzkie;2016;30805;15441;49;10
woj.³ódzkie;2015;32788;15408;45,7;10
woj.³ódzkie;2014;37008;17705;46,8;10
woj.³ódzkie;2013;47815;25253;51,4;10
woj.³ódzkie;2012;49289;25261;50,2;10
woj.³ódzkie;2011;50782;27174;52,2;10
woj.³ódzkie;2010;50027;25546;50,2;10
woj.³ódzkie;2009;49457;26262;51,9;10
woj.³ódzkie;2008;50304;26005;50,2;10
woj.³ódzkie;2007;53738;23813;43,6;10
